Indicator,Place,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",Basque Country,,,,,,,,"40,569","42,253","43,175"
"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.",Basque Country,,,,,,,,"20,095","20,153","20,057"
"Employment (Number, FTE) in Manufacture of basic metals",Basque Country,,,,,,,,"17,310","17,375","17,279"
"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers",Basque Country,,,,,,,,"13,975","14,169","14,852"
"Employment (Number, FTE) in Manufacture of electrical equipment",Basque Country,,,,,,,,"11,109","12,353","13,439"
"Employment (Number, FTE) in Manufacture of rubber and plastic products",Basque Country,,,,,,,,"13,046","13,552","13,354"
"Employment (Number, FTE) in Manufacture of food products",Basque Country,,,,,,,,"10,608","10,919","11,446"
"Gross Investment in Tangible Goods (Million Euro) in Manufacture of fabricated metal products, except machinery and equipment",Basque Country,,,,,,,,"315,503","395,198","360,398"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of basic metals,Basque Country,,,,,,,,"166,073","256,152","308,562"
"Gross Investment in Tangible Goods (Million Euro) in Manufacture of motor vehicles, trailers and semi-trailers",Basque Country,,,,,,,,"255,344","226,165","287,860"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of rubber and plastic products,Basque Country,,,,,,,,"151,094","163,437","174,136"
Gross Investment in Tangible Goods (Million Euro) in Manufacture of machinery and equipment n.e.c.,Basque Country,,,,,,,,"116,936","155,816","111,321"
"Revenue (in Thousand Euro) in Manufacture of fabricated metal products, except machinery and equipment",Basque Country,,,,,,,,"6,296,572","6,888,156","7,200,222"
Revenue (in Thousand Euro) in Manufacture of basic metals,Basque Country,,,,,,,,"5,454,370","6,096,360","6,495,552"
"Revenue (in Thousand Euro) in Manufacture of motor vehicles, trailers and semi-trailers",Basque Country,,,,,,,,"7,112,821","7,844,120","5,984,071"
Revenue (in Thousand Euro) in Manufacture of machinery and equipment n.e.c.,Basque Country,,,,,,,,"4,132,221","4,307,031","4,455,563"
Revenue (in Thousand Euro) in Manufacture of rubber and plastic products,Basque Country,,,,,,,,"2,880,404","3,375,714","3,504,231"
Revenue (in Thousand Euro) in Manufacture of food products,Basque Country,,,,,,,,"2,600,690","2,646,989","3,130,639"
"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment",Basque Country,,,,,,,,"2,939","2,954","2,960"
Firms (Number) in Repair and installation of machinery and equipment,Basque Country,,,,,,,,914,950,981
Firms (Number) in Manufacture of food products,Basque Country,,,,,,,,829,914,966
Firms (Number) in Printing and reproduction of recorded media,Basque Country,,,,,,,,761,724,654
Firms (Number) in Manufacture of machinery and equipment n.e.c.,Basque Country,,,,,,,,654,619,606
"Employment (Number, FTE) in Manufacture of food products",Catalonia,,,,,,,,"17,745","19,351","20,811"
"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment",Catalonia,,,,,,,,"18,369","19,653","19,332"
"Employment (Number, FTE) in Printing and reproduction of recorded media",Catalonia,,,,,,,,"15,009","14,584","14,709"
